x, sol1, sol2
0.000647935, 480.042, 57.9602
0.000651935, 480.04, 57.9572
0.000655934, 480.038, 57.9542
0.000659934, 480.036, 57.9512
0.000663934, 480.033, 57.9482
0.000667933, 480.031, 57.9453
0.000671933, 480.029, 57.9423
0.000675932, 480.027, 57.9393
0.000679932, 480.024, 57.9363
0.000683932, 480.022, 57.9333
0.000687931, 480.02, 57.9304
0.000691931, 480.018, 57.9274
0.00069593, 480.015, 57.9244
0.00069993, 480.013, 57.9214
0.00070393, 480.011, 57.9185
0.000707929, 480.009, 57.9155
0.000711929, 480.007, 57.9125
0.000715928, 480.005, 57.9095
0.000719928, 480.002, 57.9065
0.000723928, 480, 57.9036
0.000727927, 479.998, 57.9006
0.000731927, 479.996, 57.8976
0.000735926, 479.994, 57.8946
0.000739926, 479.992, 57.8917
0.000743926, 479.989, 57.8887
0.000747925, 479.987, 57.8857
0.000751925, 479.985, 57.8827
0.000755924, 479.983, 57.8798
0.000759924, 479.981, 57.8768
0.000763924, 479.979, 57.8738
0.000767923, 479.977, 57.8709
0.000771923, 479.974, 57.8679
0.000775922, 479.972, 57.8649
0.000779922, 479.97, 57.8619
0.000783922, 479.968, 57.859
0.000787921, 479.966, 57.856
0.000791921, 479.964, 57.853
0.00079592, 479.962, 57.8501
0.00079992, 479.96, 57.8471
0.00080392, 479.958, 57.8441
0.000807919, 479.956, 57.8412
0.000811919, 479.954, 57.8382
0.000815918, 479.951, 57.8352
0.000819918, 479.949, 57.8323
0.000823918, 479.947, 57.8293
0.000827917, 479.945, 57.8263
0.000831917, 479.943, 57.8234
0.000835916, 479.941, 57.8204
0.000839916, 479.939, 57.8174
0.000843916, 479.937, 57.8145
0.000847915, 479.935, 57.8115
0.000851915, 479.933, 57.8086
0.000855914, 479.931, 57.8056
0.000859914, 479.929, 57.8026
0.000863914, 479.927, 57.7997
0.000867913, 479.925, 57.7967
0.000871913, 479.923, 57.7937
0.000875912, 479.921, 57.7908
0.000879912, 479.919, 57.7878
0.000883912, 479.917, 57.7849
0.000887911, 479.915, 57.7819
0.000891911, 479.913, 57.7789
0.00089591, 479.911, 57.776
0.00089991, 479.909, 57.773
0.00090391, 479.907, 57.7701
0.000907909, 479.905, 57.7671
0.000911909, 479.903, 57.7642
0.000915908, 479.901, 57.7612
0.000919908, 479.899, 57.7582
0.000923908, 479.898, 57.7553
0.000927907, 479.896, 57.7523
0.000931907, 479.894, 57.7494
0.000935906, 479.892, 57.7464
0.000939906, 479.89, 57.7435
0.000943906, 479.888, 57.7405
0.000947905, 479.886, 57.7376
0.000951905, 479.884, 57.7346
0.000955904, 479.882, 57.7316
0.000959904, 479.88, 57.7287
0.000963904, 479.878, 57.7257
0.000967903, 479.877, 57.7228
0.000971903, 479.875, 57.7198
0.000975902, 479.873, 57.7169
0.000979902, 479.871, 57.7139
0.000983902, 479.869, 57.711
0.000987901, 479.867, 57.708
0.000991901, 479.865, 57.7051
0.0009959, 479.864, 57.7021
0.0009999, 479.862, 57.6992
0.0010039, 479.86, 57.6962
0.0010079, 479.858, 57.6933
0.0010119, 479.856, 57.6904
0.0010159, 479.854, 57.6874
0.0010199, 479.853, 57.6845
0.0010239, 479.851, 57.6815
0.0010279, 479.849, 57.6786
0.0010319, 479.847, 57.6756
0.0010359, 479.845, 57.6727
0.0010399, 479.844, 57.6697
0.0010439, 479.842, 57.6668
0.0010479, 479.84, 57.6638
0.00105189, 479.838, 57.6609
0.00105589, 479.836, 57.658
0.00105989, 479.835, 57.655
0.00106389, 479.833, 57.6521
0.00106789, 479.831, 57.6491
0.00107189, 479.829, 57.6462
0.00107589, 479.828, 57.6433
0.00107989, 479.826, 57.6403
0.00108389, 479.824, 57.6374
0.00108789, 479.822, 57.6344
0.00109189, 479.821, 57.6315
0.00109589, 479.819, 57.6286
0.00109989, 479.817, 57.6256
0.00110389, 479.816, 57.6227
0.00110789, 479.814, 57.6197
0.00111189, 479.812, 57.6168
0.00111589, 479.81, 57.6139
0.00111989, 479.809, 57.6109
0.00112389, 479.807, 57.608
0.00112789, 479.805, 57.6051
0.00113189, 479.804, 57.6021
0.00113589, 479.802, 57.5992
0.00113989, 479.8, 57.5963
0.00114389, 479.799, 57.5933
0.00114789, 479.797, 57.5904
0.00115188, 479.795, 57.5874
0.00115588, 479.794, 57.5845
0.00115988, 479.792, 57.5816
0.00116388, 479.79, 57.5787
0.00116788, 479.789, 57.5757
0.00117188, 479.787, 57.5728
0.00117588, 479.785, 57.5699
